row_id,Summary
7379,"This is a grey Puma Unisex backpack with 2 compartments and padded straps, priced at INR 3849."
7380,"AURELIA Women Pink Leggings, priced at INR 499."
7381,"WROGN Men Burgundy Biker Jacket with 3 pockets, priced at INR 1839."
7382,"WROGN Men Blue & Black Colourblocked Pullover Sweater, priced at INR 1999."
7383,"WROGN Men Black & Olive Green Printed Star Wars T-shirt, priced at INR 699."
7384,"AURELIA Women Pink & Golden Printed Straight Kurta, priced at INR 599."
7385,"AURELIA Women Blue & Pink Printed Straight Winter Kurta, priced at INR 749."
7386,"AURELIA Women Coffee Brown & Golden Self-Striped Straight Palazzos, priced at INR 399."
7387,"This is a black Puma Unisex backpack with 1 compartment and buckle closure, priced at INR 1199."
7388,"WROGN Men Rust Orange & Navy Blue Slim Fit Checked Casual Shirt, priced at INR 1439."
7389,"justpeachy Rose Gold-Toned Classic Drop Earrings, priced at INR 419."
7390,"Lavie Women Mustard Yellow Textured Shoulder Bag with multiple pockets, priced at INR 4559."
7391,"AURELIA Women Navy Blue Solid Straight Kurta, priced at INR 549."
7392,"AURELIA Women Purple Woven Design Layered Straight Winter Kurta, priced at INR 879."
7393,"YWC Men Blue Regular Fit Solid Casual Shirt, priced at INR 899."
7394,"Lavie Women Pink Solid Zip Around Wallet, priced at INR 1084."
7395,"WROGN Men Black Skinny Fit Mid-Rise Clean Look Stretchable Jeans, priced at INR 1689."
7396,"Puma Unisex Yellow & Peach-Coloured Dyed Round Neck Manchester City FC T-shirt, priced at INR 1749."
7397,"HERE&NOW Women Black Solid Puffer Jacket, priced at INR 1499."
7398,"justpeachy Gold-Toned & Beige Contemporary Drop Earrings, priced at INR 454."
7399,"YWC Men Green & Grey Printed Single-Breasted Casual Blazer, priced at INR 1999."
7400,"Lavie Coral Orange Solid Handheld Bag with multiple pockets, priced at INR 4115."
7401,"WROGN Men Navy Blue Solid Slim Fit Hooded Sweatshirt with two pockets, priced at INR 1999."
7402,"Aerosoles Women Grey Snakeskin Print Leather Flat Shoes, priced at INR 2796."
7403,"YWC Men Grey Regular Fit Solid Casual Shirt, priced at INR 849."
7404,"Puma Black Solid Handheld Bag with multiple pockets, priced at INR 3599."
7405,"justpeachy Gold-Toned & Orange Dome Shaped Drop Earrings, priced at INR 454."
7406,"justpeachy Rose Gold Quirky Drop Earrings, priced at INR 384."
7407,"HERE&NOW Women Olive Green Solid Lightweight Puffer Jacket with 2 pockets, priced at INR 1349."
7408,"WROGN Men Coffee Brown Solid Slim Fit Lightweight Tailored Jacket with 3 pockets, priced at INR 2879."
7409,"AURELIA Women Orange Solid Churidar Length Leggings, priced at INR 499."
7410,"Aurelia Women Navy Blue Solid Cropped Jeggings, priced at INR 539."
7411,"Lavie Brown Solid Shoulder Bag with multiple compartments, priced at INR 5375."
7412,"WROGN Men Charcoal Grey Slim Fit Mid-Rise Clean Look Stretchable Jeans, priced at INR 1559."
7413,"AURELIA Women Beige & Green Embroidered Kurta with Churidar & Dupatta, priced at INR 1319."
7414,"This is a black Puma Unisex backpack with 1 compartment and drawstring closure, priced at INR 779."
7415,"HERE&NOW Women White Printed Lightweight Puffer Jacket with 2 pockets, priced at INR 999."
7416,"Lavie Orange Solid Handheld Bag with multiple pockets, priced at INR 3879."
7417,"Garmin Unisex Blue Forerunner 945 Smartwatch 010-02063-71, priced at INR 63090."
7418,"Skechers Unisex Grey Aviator Sunglasses SE6027 57 81G, priced at INR 2250."
7419,"WROGN Men Black Slim Fit Self Design Bomber Jacket with 3 pockets, priced at INR 4999."
7420,"AURELIA Women Red & Golden Woven Design Layered Kurta with Palazzos & Dupatta, priced at INR 1599."
7421,"Lavie Orange Textured Shoulder Bag with multiple pockets, priced at INR 2384."
7422,"WROGN Men Camel Brown Solid Slim Fit Biker Jacket with 2 pockets, priced at INR 1719."
7423,"HERE&NOW Women Black Solid Jacket with a detachable hood and 2 pockets, priced at INR 1249."
7424,"This is a Pink Puma Unisex backpack with 1 compartment and padded straps, priced at INR 2144."
7425,"t-base Boys Blue Solid Lightweight Puffer Jacket with 2 pockets, priced at INR 999."
7426,"AURELIA Women Charcoal Grey Self Design Shimmered Waterfall Shrug, priced at INR 599."
7427,"Alina decor Peach-Coloured & Silver-Toned Set of 2 Abstract Rectangle Cushion Covers, priced at INR 479."
7428,"Lavie Women Brown & Copper-Toned Colourblocked Zip Around Wallet, priced at INR 909."
7429,"Street Style Store Women Beige & Gold-Toned Woven Design One Toe Flats, priced at INR 599."
7430,"AURELIA Women Pink Yoke Design A-Line Kurta, priced at INR 759."
7431,"AURELIA Women White & Peach-Coloured Printed Kurta with Palazzos & Dupatta, priced at INR 2999."
7432,"WROGN Men White Slim Fit Mid-Rise Clean Look Stretchable Jeans, priced at INR 1539."
7433,"WROGN Men Black Slim Fit Printed Round Neck T-shirt, priced at INR 1299."
7434,"Lavie Women Taupe Solid Shoulder Bag with multiple compartments, priced at INR 4559."
7435,"AURELIA Women Pink Liva Printed Wide Leg Palazzos, priced at INR 479."
7436,"Studio Voylla Women Silver-Plated Handcrafted Necklace, priced at INR 679."
7437,"Skechers Unisex Grey Aviator Sunglasses SE6027 57 81G, priced at INR 2250."
7438,"Lavie Women Navy Blue Solid Three Fold Wallet, priced at INR 839."
7439,"WROGN Men Black Solid Bomber Jacket with 3 pockets, priced at INR 1439."
7440,"Alina decor Set of 2 Textured Rectangle Cushion Covers, priced at INR 703."
7441,"HERE&NOW Women Pink Solid Biker Jacket with 2 pockets, priced at INR 1259."
7442,"HERE&NOW Women Black Solid Biker Jacket with 2 pockets, priced at INR 4199."
7443,"KLEIO Women Pink Solid Backpack with magnetic button, priced at INR 979."
7444,"YWC Men Olive Green & Black Colourblocked Hooded Sweatshirt, priced at INR 899."
7445,"This is a Navy Blue Puma Unisex backpack with 2 compartments and padded straps, priced at INR 1149."
7446,"YWC Men White Regular Fit Solid Casual Shirt, priced at INR 949."
7447,"WROGN Men Black Regular Fit Solid Chinos, priced at INR 1429."
7448,"Duke Men Blue Slim Fit Mid-Rise Clean Look Jeans, priced at INR 1124."
